dataset,model,fold,subject,minutes,adapt_thr
MASS-SS2-E1SS,v2_cwt1d,2,3,25.00,0.38
MASS-SS2-E1SS,v2_cwt1d,2,3,30.00,0.38
MASS-SS2-E1SS,v2_cwt1d,2,13,3.00,0.62
MASS-SS2-E1SS,v2_cwt1d,2,13,5.00,0.90
MASS-SS2-E1SS,v2_cwt1d,2,13,7.50,0.76
MASS-SS2-E1SS,v2_cwt1d,2,13,10.00,0.68
MASS-SS2-E1SS,v2_cwt1d,2,13,15.00,0.62
MASS-SS2-E1SS,v2_cwt1d,2,13,20.00,0.62
MASS-SS2-E1SS,v2_cwt1d,2,13,25.00,0.62
MASS-SS2-E1SS,v2_cwt1d,2,13,30.00,0.62
MASS-SS2-E1SS,v2_cwt1d,2,18,3.00,0.16
MASS-SS2-E1SS,v2_cwt1d,2,18,5.00,0.32
MASS-SS2-E1SS,v2_cwt1d,2,18,7.50,0.22
MASS-SS2-E1SS,v2_cwt1d,2,18,10.00,0.30
MASS-SS2-E1SS,v2_cwt1d,2,18,15.00,0.30
MASS-SS2-E1SS,v2_cwt1d,2,18,20.00,0.30
MASS-SS2-E1SS,v2_cwt1d,2,18,25.00,0.30
MASS-SS2-E1SS,v2_cwt1d,2,18,30.00,0.34
MASS-SS2-E1SS,v2_cwt1d,3,5,3.00,0.76
MASS-SS2-E1SS,v2_cwt1d,3,5,5.00,0.76
MASS-SS2-E1SS,v2_cwt1d,3,5,7.50,0.48
MASS-SS2-E1SS,v2_cwt1d,3,5,10.00,0.48
MASS-SS2-E1SS,v2_cwt1d,3,5,15.00,0.48
MASS-SS2-E1SS,v2_cwt1d,3,5,20.00,0.48
MASS-SS2-E1SS,v2_cwt1d,3,5,25.00,0.48
MASS-SS2-E1SS,v2_cwt1d,3,5,30.00,0.48
MASS-SS2-E1SS,v2_cwt1d,3,10,3.00,0.04
MASS-SS2-E1SS,v2_cwt1d,3,10,5.00,0.66
MASS-SS2-E1SS,v2_cwt1d,3,10,7.50,0.56
MASS-SS2-E1SS,v2_cwt1d,3,10,10.00,0.66
MASS-SS2-E1SS,v2_cwt1d,3,10,15.00,0.64
MASS-SS2-E1SS,v2_cwt1d,3,10,20.00,0.56
MASS-SS2-E1SS,v2_cwt1d,3,10,25.00,0.56
MASS-SS2-E1SS,v2_cwt1d,3,10,30.00,0.56
MASS-SS2-E1SS,v2_cwt1d,3,14,3.00,0.70
MASS-SS2-E1SS,v2_cwt1d,3,14,5.00,0.82
